,Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
404,1985,8,1,7.75,,,7.9,,7.1,4.1
405,1985,8,21,7.8125,,,,,,
406,1985,9,1,7.8125,,,7.92,,7.1,4.0
407,1985,9,6,8.0,,,,,,
408,1985,10,1,8.0,,,7.99,3.0,7.1,4.1
409,1985,11,1,8.0,,,8.05,,7.0,4.4
410,1985,12,1,8.0,,,8.27,,7.0,4.3
411,1985,12,18,7.75,,,,,,
412,1986,1,1,7.75,,,8.14,3.8,6.7,4.4
413,1986,2,1,7.75,,,7.86,,7.2,4.2
414,1986,3,1,7.75,,,7.48,,7.2,4.1
415,1986,3,7,7.25,,,,,,
416,1986,4,1,7.25,,,6.99,1.9,7.1,4.2
417,1986,4,2,7.3125,,,,,,
418,1986,4,21,6.75,,,,,,
419,1986,5,1,6.75,,,6.85,,7.2,4.0
420,1986,5,22,6.8125,,,,,,
421,1986,6,1,6.8125,,,6.92,,7.2,4.0
422,1986,6,5,6.875,,,,,,
423,1986,7,1,6.875,,,6.56,4.1,7.0,4.1
424,1986,7,11,6.375,,,,,,
425,1986,8,1,6.375,,,6.17,,6.9,4.0
426,1986,8,21,5.875,,,,,,
427,1986,9,1,5.875,,,5.89,,7.0,4.1
428,1986,10,1,5.875,,,5.85,2.1,7.0,4.0
429,1986,11,1,5.875,,,6.04,,6.9,3.8
430,1986,12,1,5.875,,,6.91,,6.6,3.8
431,1987,1,1,5.875,,,6.43,2.8,6.6,3.8
432,1987,1,5,6.0,,,,,,
433,1987,2,1,6.0,,,6.1,,6.6,3.8
434,1987,3,1,6.0,,,6.13,,6.6,4.0
435,1987,4,1,6.0,,,6.37,4.6,6.3,4.2
436,1987,4,30,6.5,,,,,,
437,1987,5,1,6.5,,,6.85,,6.3,4.2
438,1987,5,22,6.75,,,,,,
439,1987,6,1,6.75,,,6.73,,6.2,4.1
440,1987,7,1,6.75,,,6.58,3.7,6.1,4.0
441,1987,7,2,6.625,,,,,,
442,1987,8,1,6.625,,,6.73,,6.0,4.2
443,1987,8,27,6.75,,,,,,
444,1987,9,1,6.75,,,7.22,,5.9,4.3
445,1987,9,3,6.875,,,,,,
446,1987,9,4,7.25,,,,,,
447,1987,9,24,7.3125,,,,,,
448,1987,10,1,7.3125,,,7.29,6.8,6.0,4.3
449,1987,11,1,7.3125,,,6.69,,5.8,4.4
450,1987,11,4,6.8125,,,,,,
451,1987,12,1,6.8125,,,6.77,,5.7,4.2
452,1988,1,1,6.8125,,,6.83,2.3,5.7,4.3
453,1988,1,28,6.625,,,,,,
454,1988,2,1,6.625,,,6.58,,5.7,4.3
455,1988,2,11,6.5,,,,,,
456,1988,3,1,6.5,,,6.58,,5.7,4.4
457,1988,3,30,6.75,,,,,,
458,1988,4,1,6.75,,,6.87,5.4,5.4,4.3
459,1988,5,1,6.75,,,7.09,,5.6,4.3
460,1988,5,9,7.0,,,,,,
461,1988,5,25,7.25,,,,,,
462,1988,6,1,7.25,,,7.51,,5.4,4.5
463,1988,6,22,7.4375,,,,,,
464,1988,7,1,7.5,,,7.75,2.3,5.4,4.5
465,1988,7,19,7.6875,,,,,,
466,1988,8,1,7.6875,,,8.01,,5.6,4.4
467,1988,8,8,7.75,,,,,,
468,1988,8,9,8.125,,,,,,
469,1988,9,1,8.125,,,8.19,,5.4,4.4
470,1988,10,1,8.125,,,8.3,5.4,5.4,4.5
471,1988,11,1,8.125,,,8.35,,5.3,4.4
472,1988,11,17,8.3125,,,,,,
473,1988,11,22,8.375,,,,,,
474,1988,12,1,8.375,,,8.76,,5.3,4.7
475,1988,12,15,8.6875,,,,,,
476,1989,1,1,8.6875,,,9.12,4.1,5.4,4.6
477,1989,1,5,9.0,,,,,,
478,1989,2,1,9.0,,,9.36,,5.2,4.8
479,1989,2,9,9.125,,,,,,
480,1989,2,14,9.3125,,,,,,
481,1989,2,24,9.75,,,,,,
482,1989,3,1,9.75,,,9.85,,5.0,4.7
483,1989,4,1,9.75,,,9.84,3.2,5.2,4.6
484,1989,5,1,9.75,,,9.81,,5.2,4.6
485,1989,5,17,9.8125,,,,,,
486,1989,6,1,9.8125,,,9.53,,5.3,4.5
487,1989,6,6,9.5625,,,,,,
488,1989,7,1,9.5625,,,9.24,3.0,5.2,4.6
489,1989,7,7,9.3125,,,,,,
490,1989,7,27,9.0625,,,,,,
491,1989,8,1,9.0625,,,8.99,,5.2,4.4
492,1989,9,1,9.0625,,,9.02,,5.3,4.3
493,1989,10,1,9.0625,,,8.84,0.9,5.3,4.3
494,1989,10,19,8.75,,,,,,
495,1989,11,1,8.75,,,8.55,,5.4,4.4
496,1989,11,6,8.5,,,,,,
497,1989,12,1,8.5,,,8.45,,5.4,4.4
498,1989,12,20,8.25,,,,,,
499,1990,1,1,8.25,,,8.23,4.5,5.4,4.4
500,1990,2,1,8.25,,,8.24,,5.3,4.6
501,1990,3,1,8.25,,,8.28,,5.2,4.9
502,1990,4,1,8.25,,,8.26,1.6,5.4,4.8
503,1990,5,1,8.25,,,8.18,,5.4,4.8
504,1990,6,1,8.25,,,8.29,,5.2,4.9
505,1990,7,1,8.25,,,8.15,0.1,5.5,5.0
506,1990,7,13,8.0,,,,,,
507,1990,8,1,8.0,,,8.13,,5.7,5.5
508,1990,9,1,8.0,,,8.2,,5.9,5.5
509,1990,10,1,8.0,,,8.11,-3.4,5.9,5.3
510,1990,10,29,7.75,,,,,,
511,1990,11,1,7.75,,,7.81,,6.2,5.3
512,1990,11,14,7.5,,,,,,
513,1990,12,1,7.5,,,7.31,,6.3,5.2
514,1990,12,7,7.25,,,,,,
515,1990,12,19,7.0,,,,,,
516,1991,1,1,7.0,,,6.91,-1.9,6.4,5.6
517,1991,1,9,6.75,,,,,,
518,1991,2,1,6.25,,,6.25,,6.6,5.6
